"date","geography","geography code","Rural Urban","Variable: All usual residents; measures: Value","Variable: Males; measures: Value","Variable: Females; measures: Value","Variable: Lives in a household; measures: Value","Variable: Lives in a communal establishment; measures: Value","Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value","Variable: Area (Hectares); measures: Value","Variable: Density (number of persons per hectare); measures: Value"
"2011","Northumberland","E06000048","Urban minor conurbation",0,0,0,0,0,0,0.00,
"2011","Northumberland","E06000048","Urban city and town",130968,63494,67474,129264,1704,1408,10302.50,12.7
"2011","Northumberland","E06000048","Urban city and town in a sparse setting",13265,6322,6943,12938,327,134,2669.34,5.0
"2011","Northumberland","E06000048","Rural (total)",145096,71471,73625,141921,3175,2152,487228.37,0.3
"2011","Northumberland","E06000048","Rural town and fringe",53488,26444,27044,51966,1522,444,8401.94,6.4
"2011","Northumberland","E06000048","Rural town and fringe in a sparse setting",28831,13940,14891,28483,348,329,8668.67,3.3
"2011","Northumberland","E06000048","Rural village",12880,6348,6532,12566,314,225,15242.88,0.8
"2011","Northumberland","E06000048","Rural village in a sparse setting",16991,8294,8697,16869,122,303,52768.37,0.3
"2011","Northumberland","E06000048","Rural hamlet and isolated dwellings",15983,7881,8102,15529,454,419,107442.45,0.1
"2011","Northumberland","E06000048","Rural hamlet and isolated dwellings in a sparse setting",16923,8564,8359,16508,415,432,294704.06,0.1
"2011","Redcar and Cleveland","E06000003","Total",135177,65655,69522,133929,1248,1096,24489.51,5.5
"2011","Redcar and Cleveland","E06000003","Urban (total)",91297,44132,47165,90532,765,747,6504.96,14.0
"2011","Redcar and Cleveland","E06000003","Urban major conurbation",0,0,0,0,0,0,0.00,
"2011","Redcar and Cleveland","E06000003","Urban minor conurbation",0,0,0,0,0,0,0.00,
"2011","Redcar and Cleveland","E06000003","Urban city and town",91297,44132,47165,90532,765,747,6504.96,14.0
"2011","Redcar and Cleveland","E06000003","Urban city and town in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Redcar and Cleveland","E06000003","Rural (total)",43880,21523,22357,43397,483,349,17984.55,2.4
"2011","Redcar and Cleveland","E06000003","Rural town and fringe",38785,18963,19822,38396,389,302,3894.23,10.0
"2011","Redcar and Cleveland","E06000003","Rural town and fringe in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Redcar and Cleveland","E06000003","Rural village",3136,1562,1574,3073,63,21,3035.37,1.0
"2011","Redcar and Cleveland","E06000003","Rural village in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Redcar and Cleveland","E06000003","Rural hamlet and isolated dwellings",1959,998,961,1928,31,26,11054.95,0.2
"2011","Redcar and Cleveland","E06000003","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Stockton-on-Tees","E06000004","Total",191610,94082,97528,187959,3651,1991,20393.06,9.4
"2011","Stockton-on-Tees","E06000004","Urban (total)",184074,90373,93701,180512,3562,1851,10288.95,17.9
"2011","Stockton-on-Tees","E06000004","Urban major conurbation",0,0,0,0,0,0,0.00,
"2011","Stockton-on-Tees","E06000004","Urban minor conurbation",0,0,0,0,0,0,0.00,
"2011","Stockton-on-Tees","E06000004","Urban city and town",184074,90373,93701,180512,3562,1851,10288.95,17.9
"2011","Stockton-on-Tees","E06000004","Urban city and town in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Stockton-on-Tees","E06000004","Rural (total)",7536,3709,3827,7447,89,140,10104.11,0.7
"2011","Stockton-on-Tees","E06000004","Rural town and fringe",392,196,196,392,0,1,43.02,9.1
"2011","Stockton-on-Tees","E06000004","Rural town and fringe in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Stockton-on-Tees","E06000004","Rural village",5961,2934,3027,5880,81,120,5045.71,1.2
"2011","Stockton-on-Tees","E06000004","Rural village in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Stockton-on-Tees","E06000004","Rural hamlet and isolated dwellings",1183,579,604,1175,8,19,5015.38,0.2
"2011","Stockton-on-Tees","E06000004","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Gateshead","E08000020","Total",200214,97974,102240,197726,2488,1332,14234.74,14.1
"2011","Gateshead","E08000020","Urban (total)",184151,90214,93937,181753,2398,1160,6996.06,26.3
"2011","Gateshead","E08000020","Urban major conurbation",181290,88845,92445,178894,2396,1146,6625.79,27.4
"2011","Gateshead","E08000020","Urban minor conurbation",0,0,0,0,0,0,0.00,
"2011","Gateshead","E08000020","Urban city and town",2861,1369,1492,2859,2,14,370.27,7.7
"2011","Gateshead","E08000020","Urban city and town in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Gateshead","E08000020","Rural (total)",16063,7760,8303,15973,90,172,7238.68,2.2
"2011","Gateshead","E08000020","Rural town and fringe",12883,6202,6681,12810,73,127,1449.58,8.9
"2011","Gateshead","E08000020","Rural town and fringe in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Gateshead","E08000020","Rural village",1560,753,807,1560,0,22,926.25,1.7
"2011","Gateshead","E08000020","Rural village in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Gateshead","E08000020","Rural hamlet and isolated dwellings",1620,805,815,1603,17,23,4862.85,0.3
"2011","Gateshead","E08000020","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Newcastle upon Tyne","E08000021","Total",280177,140226,139951,271212,8965,2586,11343.86,24.7
"2011","Newcastle upon Tyne","E08000021","Urban (total)",274444,137485,136959,265534,8910,2536,7792.86,35.2
"2011","Newcastle upon Tyne","E08000021","Urban major conurbation",273861,137201,136660,264951,8910,2530,7714.64,35.5
"2011","Newcastle upon Tyne","E08000021","Urban minor conurbation",0,0,0,0,0,0,0.00,
"2011","Newcastle upon Tyne","E08000021","Urban city and town",583,284,299,583,0,6,78.22,7.5
"2011","Newcastle upon Tyne","E08000021","Urban city and town in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Newcastle upon Tyne","E08000021","Rural (total)",5733,2741,2992,5678,55,50,3551.00,1.6
"2011","Newcastle upon Tyne","E08000021","Rural town and fringe",4043,1932,2111,4021,22,27,586.71,6.9
"2011","Newcastle upon Tyne","E08000021","Rural town and fringe in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Newcastle upon Tyne","E08000021","Rural village",1690,809,881,1657,33,23,2964.29,0.6
"2011","Newcastle upon Tyne","E08000021","Rural village in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Newcastle upon Tyne","E08000021","Rural hamlet and isolated dwellings",0,0,0,0,0,0,0.00,
"2011","Newcastle upon Tyne","E08000021","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0,0,0,0.00,
"2011","North Tyneside","E08000022","Total",200801,96883,103918,199142,1659,1550,8239.10,24.4
"2011","North Tyneside","E08000022","Urban (total)",192278,92872,99406,190668,1610,1474,6972.76,27.6
"2011","North Tyneside","E08000022","Urban major conurbation",190512,92016,98496,188905,1607,1461,6688.57,28.5
"2011","North Tyneside","E08000022","Urban minor conurbation",0,0,0,0,0,0,0.00,
"2011","North Tyneside","E08000022","Urban city and town",1766,856,910,1763,3,13,284.19,6.2
"2011","North Tyneside","E08000022","Urban city and town in a sparse setting",0,0,0,0,0,0,0.00,
"2011","North Tyneside","E08000022","Rural (total)",8523,4011,4512,8474,49,76,1266.34,6.7
"2011","North Tyneside","E08000022","Rural town and fringe",7895,3718,4177,7846,49,75,1197.04,6.6
"2011","North Tyneside","E08000022","Rural town and fringe in a sparse setting",0,0,0,0,0,0,0.00,
"2011","North Tyneside","E08000022","Rural village",297,139,158,297,0,0,49.29,6.0
"2011","North Tyneside","E08000022","Rural village in a sparse setting",0,0,0,0,0,0,0.00,
"2011","North Tyneside","E08000022","Rural hamlet and isolated dwellings",331,154,177,331,0,1,20.01,16.5
"2011","North Tyneside","E08000022","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0,0,0,0.00,
"2011","South Tyneside","E08000023","Total",148127,71560,76567,146729,1398,867,6441.31,23.0
"2011","South Tyneside","E08000023","Urban (total)",147526,71262,76264,146128,1398,863,5558.49,26.5
"2011","South Tyneside","E08000023","Urban major conurbation",141543,68418,73125,140145,1398,815,4937.60,28.7
"2011","South Tyneside","E08000023","Urban minor conurbation",0,0,0,0,0,0,0.00,
"2011","South Tyneside","E08000023","Urban city and town",5983,2844,3139,5983,0,48,620.89,9.6
"2011","South Tyneside","E08000023","Urban city and town in a sparse setting",0,0,0,0,0,0,0.00,
"2011","South Tyneside","E08000023","Rural (total)",601,298,303,601,0,4,882.82,0.7
"2011","South Tyneside","E08000023","Rural town and fringe",327,166,161,327,0,2,24.12,13.6
"2011","South Tyneside","E08000023","Rural town and fringe in a sparse setting",0,0,0,0,0,0,0.00,
"2011","South Tyneside","E08000023","Rural village",0,0,0,0,0,0,0.00,
"2011","South Tyneside","E08000023","Rural village in a sparse setting",0,0,0,0,0,0,0.00,
"2011","South Tyneside","E08000023","Rural hamlet and isolated dwellings",274,132,142,274,0,2,858.70,0.3
"2011","South Tyneside","E08000023","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Sunderland","E08000024","Total",275506,133953,141553,271884,3622,1531,13746.17,20.0
"2011","Sunderland","E08000024","Urban (total)",274013,133246,140767,270391,3622,1516,12483.55,21.9
"2011","Sunderland","E08000024","Urban major conurbation",273097,132796,140301,269475,3622,1511,12354.33,22.1
"2011","Sunderland","E08000024","Urban minor conurbation",0,0,0,0,0,0,0.00,
"2011","Sunderland","E08000024","Urban city and town",916,450,466,916,0,5,129.22,7.1
"2011","Sunderland","E08000024","Urban city and town in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Sunderland","E08000024","Rural (total)",1493,707,786,1493,0,15,1262.62,1.2
"2011","Sunderland","E08000024","Rural town and fringe",1213,564,649,1213,0,5,310.21,3.9
"2011","Sunderland","E08000024","Rural town and fringe in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Sunderland","E08000024","Rural village",0,0,0,0,0,0,0.00,
"2011","Sunderland","E08000024","Rural village in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Sunderland","E08000024","Rural hamlet and isolated dwellings",280,143,137,280,0,10,952.41,0.3
"2011","Sunderland","E08000024","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Blackburn with Darwen","E06000008","Total",147489,73547,73942,145827,1662,1467,13701.18,10.8
"2011","Blackburn with Darwen","E06000008","Urban (total)",140558,70124,70434,138896,1662,1314,4968.38,28.3
"2011","Blackburn with Darwen","E06000008","Urban major conurbation",0,0,0,0,0,0,0.00,
"2011","Blackburn with Darwen","E06000008","Urban minor conurbation",0,0,0,0,0,0,0.00,
"2011","Blackburn with Darwen","E06000008","Urban city and town",140558,70124,70434,138896,1662,1314,4968.38,28.3
"2011","Blackburn with Darwen","E06000008","Urban city and town in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Blackburn with Darwen","E06000008","Rural (total)",6931,3423,3508,6931,0,153,8732.80,0.8
"2011","Blackburn with Darwen","E06000008","Rural town and fringe",2612,1289,1323,2612,0,53,530.40,4.9
"2011","Blackburn with Darwen","E06000008","Rural town and fringe in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Blackburn with Darwen","E06000008","Rural village",2378,1189,1189,2378,0,50,4167.64,0.6
"2011","Blackburn with Darwen","E06000008","Rural village in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Blackburn with Darwen","E06000008","Rural hamlet and isolated dwellings",1941,945,996,1941,0,50,4034.76,0.5
"2011","Blackburn with Darwen","E06000008","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Blackpool","E06000009","Total",142065,69775,72290,137960,4105,1073,3488.10,40.7
"2011","Blackpool","E06000009","Urban (total)",141510,69505,72005,137405,4105,1068,3434.12,41.2
"2011","Blackpool","E06000009","Urban major conurbation",0,0,0,0,0,0,0.00,
"2011","Blackpool","E06000009","Urban minor conurbation",0,0,0,0,0,0,0.00,
"2011","Blackpool","E06000009","Urban city and town",141510,69505,72005,137405,4105,1068,3434.12,41.2
"2011","Blackpool","E06000009","Urban city and town in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Blackpool","E06000009","Rural (total)",555,270,285,555,0,5,53.98,10.3
"2011","Blackpool","E06000009","Rural town and fringe",555,270,285,555,0,5,53.98,10.3
"2011","Blackpool","E06000009","Rural town and fringe in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Blackpool","E06000009","Rural village",0,0,0,0,0,0,0.00,
"2011","Blackpool","E06000009","Rural village in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Blackpool","E06000009","Rural hamlet and isolated dwellings",0,0,0,0,0,0,0.00,
"2011","Blackpool","E06000009","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Cheshire East","E06000049","Total",370127,181409,188718,365065,5062,6056,116637.63,3.2
"2011","Cheshire East","E06000049","Urban (total)",299520,146779,152741,296980,2540,4442,19932.05,15.0
"2011","Cheshire East","E06000049","Urban major conurbation",45501,22147,23354,45109,392,996,2630.51,17.3
"2011","Cheshire East","E06000049","Urban minor conurbation",0,0,0,0,0,0,0.00,
"2011","Cheshire East","E06000049","Urban city and town",254019,124632,129387,251871,2148,3446,17301.54,14.7
"2011","Cheshire East","E06000049","Urban city and town in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Cheshire East","E06000049","Rural (total)",70607,34630,35977,68085,2522,1614,96705.58,0.7
"2011","Cheshire East","E06000049","Rural town and fringe",20733,10031,10702,20488,245,408,3027.04,6.8
"2011","Cheshire East","E06000049","Rural town and fringe in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Cheshire East","E06000049","Rural village",21405,10469,10936,21142,263,426,18588.78,1.2
"2011","Cheshire East","E06000049","Rural village in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Cheshire East","E06000049","Rural hamlet and isolated dwellings",28469,14130,14339,26455,2014,780,75089.76,0.4
"2011","Cheshire East","E06000049","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Cheshire West and Chester","E06000050","Total",329608,160586,169022,326236,3372,4753,91665.60,3.6
"2011","Cheshire West and Chester","E06000050","Urban (total)",243307,118435,124872,240912,2395,2943,18003.83,13.5
"2011","Cheshire West and Chester","E06000050","Urban major conurbation",0,0,0,0,0,0,0.00,
"2011","Cheshire West and Chester","E06000050","Urban minor conurbation",0,0,0,0,0,0,0.00,
"2011","Cheshire West and Chester","E06000050","Urban city and town",243307,118435,124872,240912,2395,2943,18003.83,13.5
"2011","Cheshire West and Chester","E06000050","Urban city and town in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Cheshire West and Chester","E06000050","Rural (total)",86301,42151,44150,85324,977,1810,73661.77,1.2
"2011","Cheshire West and Chester","E06000050","Rural town and fringe",45067,21756,23311,44653,414,817,7229.35,6.2
"2011","Cheshire West and Chester","E06000050","Rural town and fringe in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Cheshire West and Chester","E06000050","Rural village",20335,9961,10374,20018,317,443,20861.19,1.0
"2011","Cheshire West and Chester","E06000050","Rural village in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Cheshire West and Chester","E06000050","Rural hamlet and isolated dwellings",20899,10434,10465,20653,246,550,45571.23,0.5
"2011","Cheshire West and Chester","E06000050","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Halton","E06000006","Total",125746,61368,64378,124874,872,1001,7909.52,15.9
"2011","Halton","E06000006","Urban (total)",122598,59806,62792,121726,872,965,6452.94,19.0
"2011","Halton","E06000006","Urban major conurbation",0,0,0,0,0,0,0.00,
"2011","Halton","E06000006","Urban minor conurbation",0,0,0,0,0,0,0.00,
"2011","Halton","E06000006","Urban city and town",122598,59806,62792,121726,872,965,6452.94,19.0
"2011","Halton","E06000006","Urban city and town in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Halton","E06000006","Rural (total)",3148,1562,1586,3148,0,36,1456.58,2.2
"2011","Halton","E06000006","Rural town and fringe",2188,1080,1108,2188,0,21,591.81,3.7
"2011","Halton","E06000006","Rural town and fringe in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Halton","E06000006","Rural village",714,356,358,714,0,11,81.67,8.7
"2011","Halton","E06000006","Rural village in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Halton","E06000006","Rural hamlet and isolated dwellings",246,126,120,246,0,4,783.10,0.3
"2011","Halton","E06000006","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Warrington","E06000007","Total",202228,100300,101928,198828,3400,2589,18065.39,11.2
"2011","Warrington","E06000007","Urban (total)",177064,87415,89649,175392,1672,2178,8518.82,20.8
"2011","Warrington","E06000007","Urban major conurbation",0,0,0,0,0,0,0.00,
"2011","Warrington","E06000007","Urban minor conurbation",0,0,0,0,0,0,0.00,
"2011","Warrington","E06000007","Urban city and town",177064,87415,89649,175392,1672,2178,8518.82,20.8
"2011","Warrington","E06000007","Urban city and town in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Warrington","E06000007","Rural (total)",25164,12885,12279,23436,1728,411,9546.57,2.6
"2011","Warrington","E06000007","Rural town and fringe",15229,7862,7367,14044,1185,228,1905.30,8.0
"2011","Warrington","E06000007","Rural town and fringe in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Warrington","E06000007","Rural village",5637,2923,2714,5213,424,107,2058.43,2.7
"2011","Warrington","E06000007","Rural village in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Warrington","E06000007","Rural hamlet and isolated dwellings",4298,2100,2198,4179,119,76,5582.84,0.8
"2011","Warrington","E06000007","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Cumbria","E10000006","Total",499858,246065,253793,490939,8919,6584,676655.85,0.7
"2011","Cumbria","E10000006","Urban (total)",232039,113702,118337,229124,2915,2438,15089.24,15.4
"2011","Cumbria","E10000006","Urban major conurbation",0,0,0,0,0,0,0.00,
"2011","Cumbria","E10000006","Urban minor conurbation",0,0,0,0,0,0,0.00,
"2011","Cumbria","E10000006","Urban city and town",217427,106583,110844,214771,2656,2260,14112.76,15.4
"2011","Cumbria","E10000006","Urban city and town in a sparse setting",14612,7119,7493,14353,259,178,976.48,15.0
"2011","Cumbria","E10000006","Rural (total)",267819,132363,135456,261815,6004,4146,661566.61,0.4
"2011","Cumbria","E10000006","Rural town and fringe",102684,50187,52497,101508,1176,1157,14661.99,7.0
"2011","Cumbria","E10000006","Rural town and fringe in a sparse setting",28517,13821,14696,27511,1006,427,3898.83,7.3
"2011","Cumbria","E10000006","Rural village",48425,24088,24337,47297,1128,878,71052.03,0.7
"2011","Cumbria","E10000006","Rural village in a sparse setting",37116,18390,18726,36081,1035,636,149347.75,0.2
"2011","Cumbria","E10000006","Rural hamlet and isolated dwellings",26843,13575,13268,26425,418,509,138020.83,0.2
"2011","Cumbria","E10000006","Rural hamlet and isolated dwellings in a sparse setting",24234,12302,11932,22993,1241,539,284585.18,0.1
"2011","Bolton","E08000001","Total",276786,136660,140126,274855,1931,2747,13980.34,19.8
"2011","Bolton","E08000001","Urban (total)",274298,135399,138899,272367,1931,2718,11440.06,24.0
"2011","Bolton","E08000001","Urban major conurbation",246862,122010,124852,245178,1684,2390,9421.61,26.2
"2011","Bolton","E08000001","Urban minor conurbation",0,0,0,0,0,0,0.00,
"2011","Bolton","E08000001","Urban city and town",27436,13389,14047,27189,247,328,2018.45,13.6
"2011","Bolton","E08000001","Urban city and town in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Bolton","E08000001","Rural (total)",2488,1261,1227,2488,0,29,2540.28,1.0
"2011","Bolton","E08000001","Rural town and fringe",560,282,278,560,0,8,631.02,0.9
"2011","Bolton","E08000001","Rural town and fringe in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Bolton","E08000001","Rural village",474,237,237,474,0,7,140.52,3.4
"2011","Bolton","E08000001","Rural village in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Bolton","E08000001","Rural hamlet and isolated dwellings",1454,742,712,1454,0,14,1768.74,0.8
"2011","Bolton","E08000001","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Bury","E08000002","Total",185060,90588,94472,183025,2035,2472,9948.44,18.6
"2011","Bury","E08000002","Urban (total)",179934,88104,91830,178111,1823,2400,8173.17,22.0
"2011","Bury","E08000002","Urban major conurbation",179215,87753,91462,177392,1823,2392,8115.37,22.1
"2011","Bury","E08000002","Urban minor conurbation",0,0,0,0,0,0,0.00,
"2011","Bury","E08000002","Urban city and town",719,351,368,719,0,8,57.80,12.4
"2011","Bury","E08000002","Urban city and town in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Bury","E08000002","Rural (total)",5126,2484,2642,4914,212,72,1775.27,2.9
"2011","Bury","E08000002","Rural town and fringe",2258,1081,1177,2255,3,26,529.35,4.3
"2011","Bury","E08000002","Rural town and fringe in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Bury","E08000002","Rural village",2061,1026,1035,1971,90,34,649.48,3.2
"2011","Bury","E08000002","Rural village in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Bury","E08000002","Rural hamlet and isolated dwellings",807,377,430,688,119,12,596.44,1.4
"2011","Bury","E08000002","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Manchester","E08000003","Total",503127,252623,250504,481030,22097,3736,11564.49,43.5
"2011","Manchester","E08000003","Urban (total)",503024,252566,250458,480927,22097,3735,10909.47,46.1
"2011","Manchester","E08000003","Urban major conurbation",503024,252566,250458,480927,22097,3735,10909.47,46.1
"2011","Manchester","E08000003","Urban minor conurbation",0,0,0,0,0,0,0.00,
"2011","Manchester","E08000003","Urban city and town",0,0,0,0,0,0,0.00,
"2011","Manchester","E08000003","Urban city and town in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Manchester","E08000003","Rural (total)",103,57,46,103,0,1,655.02,0.2
"2011","Manchester","E08000003","Rural town and fringe",0,0,0,0,0,0,0.00,
"2011","Manchester","E08000003","Rural town and fringe in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Manchester","E08000003","Rural village",0,0,0,0,0,0,0.00,
