"date","geography","geography code","Rural Urban","Residence Type: All categories: Residence type; measures: Value","Residence Type: Lives in a household; measures: Value","Residence Type: Lives in a communal establishment; measures: Value","Residence Type: Communal establishments with persons sleeping rough identified; measures: Value"
"2011","Redcar and Cleveland","E06000003","Rural village in a sparse setting",0,0,0,0
"2011","Redcar and Cleveland","E06000003","Rural hamlet and isolated dwellings",1959,1928,31,0
"2011","Redcar and Cleveland","E06000003","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Stockton-on-Tees","E06000004","Total",191610,187959,3651,1
"2011","Stockton-on-Tees","E06000004","Urban (total)",184074,180512,3562,1
"2011","Stockton-on-Tees","E06000004","Urban major conurbation",0,0,0,0
"2011","Stockton-on-Tees","E06000004","Urban minor conurbation",0,0,0,0
"2011","Stockton-on-Tees","E06000004","Urban city and town",184074,180512,3562,1
"2011","Stockton-on-Tees","E06000004","Urban city and town in a sparse setting",0,0,0,0
"2011","Stockton-on-Tees","E06000004","Rural (total)",7536,7447,89,0
"2011","Stockton-on-Tees","E06000004","Rural town and fringe",392,392,0,0
"2011","Stockton-on-Tees","E06000004","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Stockton-on-Tees","E06000004","Rural village",5961,5880,81,0
"2011","Stockton-on-Tees","E06000004","Rural village in a sparse setting",0,0,0,0
"2011","Stockton-on-Tees","E06000004","Rural hamlet and isolated dwellings",1183,1175,8,0
"2011","Stockton-on-Tees","E06000004","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Gateshead","E08000020","Total",200214,197726,2488,1
"2011","Gateshead","E08000020","Urban (total)",184151,181753,2398,1
"2011","Gateshead","E08000020","Urban major conurbation",181290,178894,2396,1
"2011","Gateshead","E08000020","Urban minor conurbation",0,0,0,0
"2011","Gateshead","E08000020","Urban city and town",2861,2859,2,0
"2011","Gateshead","E08000020","Urban city and town in a sparse setting",0,0,0,0
"2011","Gateshead","E08000020","Rural (total)",16063,15973,90,0
"2011","Gateshead","E08000020","Rural town and fringe",12883,12810,73,0
"2011","Gateshead","E08000020","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Gateshead","E08000020","Rural village",1560,1560,0,0
"2011","Gateshead","E08000020","Rural village in a sparse setting",0,0,0,0
"2011","Gateshead","E08000020","Rural hamlet and isolated dwellings",1620,1603,17,0
"2011","Gateshead","E08000020","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Newcastle upon Tyne","E08000021","Total",280177,271212,8965,5
"2011","Newcastle upon Tyne","E08000021","Urban (total)",274444,265534,8910,5
"2011","Newcastle upon Tyne","E08000021","Urban major conurbation",273861,264951,8910,5
"2011","Newcastle upon Tyne","E08000021","Urban minor conurbation",0,0,0,0
"2011","Newcastle upon Tyne","E08000021","Urban city and town",583,583,0,0
"2011","Newcastle upon Tyne","E08000021","Urban city and town in a sparse setting",0,0,0,0
"2011","Newcastle upon Tyne","E08000021","Rural (total)",5733,5678,55,0
"2011","Newcastle upon Tyne","E08000021","Rural town and fringe",4043,4021,22,0
"2011","Newcastle upon Tyne","E08000021","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Newcastle upon Tyne","E08000021","Rural village",1690,1657,33,0
"2011","Newcastle upon Tyne","E08000021","Rural village in a sparse setting",0,0,0,0
"2011","Newcastle upon Tyne","E08000021","Rural hamlet and isolated dwellings",0,0,0,0
"2011","Newcastle upon Tyne","E08000021","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","North Tyneside","E08000022","Total",200801,199142,1659,0
"2011","North Tyneside","E08000022","Urban (total)",192278,190668,1610,0
"2011","North Tyneside","E08000022","Urban major conurbation",190512,188905,1607,0
"2011","North Tyneside","E08000022","Urban minor conurbation",0,0,0,0
"2011","North Tyneside","E08000022","Urban city and town",1766,1763,3,0
"2011","North Tyneside","E08000022","Urban city and town in a sparse setting",0,0,0,0
"2011","North Tyneside","E08000022","Rural (total)",8523,8474,49,0
"2011","North Tyneside","E08000022","Rural town and fringe",7895,7846,49,0
"2011","North Tyneside","E08000022","Rural town and fringe in a sparse setting",0,0,0,0
"2011","North Tyneside","E08000022","Rural village",297,297,0,0
"2011","North Tyneside","E08000022","Rural village in a sparse setting",0,0,0,0
"2011","North Tyneside","E08000022","Rural hamlet and isolated dwellings",331,331,0,0
"2011","North Tyneside","E08000022","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","South Tyneside","E08000023","Total",148127,146729,1398,0
"2011","South Tyneside","E08000023","Urban (total)",147526,146128,1398,0
"2011","South Tyneside","E08000023","Urban major conurbation",141543,140145,1398,0
"2011","South Tyneside","E08000023","Urban minor conurbation",0,0,0,0
"2011","South Tyneside","E08000023","Urban city and town",5983,5983,0,0
"2011","South Tyneside","E08000023","Urban city and town in a sparse setting",0,0,0,0
"2011","South Tyneside","E08000023","Rural (total)",601,601,0,0
"2011","South Tyneside","E08000023","Rural town and fringe",327,327,0,0
"2011","South Tyneside","E08000023","Rural town and fringe in a sparse setting",0,0,0,0
"2011","South Tyneside","E08000023","Rural village",0,0,0,0
"2011","South Tyneside","E08000023","Rural village in a sparse setting",0,0,0,0
"2011","South Tyneside","E08000023","Rural hamlet and isolated dwellings",274,274,0,0
"2011","South Tyneside","E08000023","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Sunderland","E08000024","Total",275506,271884,3622,1
"2011","Sunderland","E08000024","Urban (total)",274013,270391,3622,1
"2011","Sunderland","E08000024","Urban major conurbation",273097,269475,3622,1
"2011","Sunderland","E08000024","Urban minor conurbation",0,0,0,0
"2011","Sunderland","E08000024","Urban city and town",916,916,0,0
"2011","Sunderland","E08000024","Urban city and town in a sparse setting",0,0,0,0
"2011","Sunderland","E08000024","Rural (total)",1493,1493,0,0
"2011","Sunderland","E08000024","Rural town and fringe",1213,1213,0,0
"2011","Sunderland","E08000024","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Sunderland","E08000024","Rural village",0,0,0,0
"2011","Sunderland","E08000024","Rural village in a sparse setting",0,0,0,0
"2011","Sunderland","E08000024","Rural hamlet and isolated dwellings",280,280,0,0
"2011","Sunderland","E08000024","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Blackburn with Darwen","E06000008","Total",147489,145827,1662,0
"2011","Blackburn with Darwen","E06000008","Urban (total)",140558,138896,1662,0
"2011","Blackburn with Darwen","E06000008","Urban major conurbation",0,0,0,0
"2011","Blackburn with Darwen","E06000008","Urban minor conurbation",0,0,0,0
"2011","Blackburn with Darwen","E06000008","Urban city and town",140558,138896,1662,0
"2011","Blackburn with Darwen","E06000008","Urban city and town in a sparse setting",0,0,0,0
"2011","Blackburn with Darwen","E06000008","Rural (total)",6931,6931,0,0
"2011","Blackburn with Darwen","E06000008","Rural town and fringe",2612,2612,0,0
"2011","Blackburn with Darwen","E06000008","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Blackburn with Darwen","E06000008","Rural village",2378,2378,0,0
"2011","Blackburn with Darwen","E06000008","Rural village in a sparse setting",0,0,0,0
"2011","Blackburn with Darwen","E06000008","Rural hamlet and isolated dwellings",1941,1941,0,0
"2011","Blackburn with Darwen","E06000008","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Blackpool","E06000009","Total",142065,137960,4105,4
"2011","Blackpool","E06000009","Urban (total)",141510,137405,4105,4
"2011","Blackpool","E06000009","Urban major conurbation",0,0,0,0
"2011","Blackpool","E06000009","Urban minor conurbation",0,0,0,0
"2011","Blackpool","E06000009","Urban city and town",141510,137405,4105,4
"2011","Blackpool","E06000009","Urban city and town in a sparse setting",0,0,0,0
"2011","Blackpool","E06000009","Rural (total)",555,555,0,0
"2011","Blackpool","E06000009","Rural town and fringe",555,555,0,0
"2011","Blackpool","E06000009","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Blackpool","E06000009","Rural village",0,0,0,0
"2011","Blackpool","E06000009","Rural village in a sparse setting",0,0,0,0
"2011","Blackpool","E06000009","Rural hamlet and isolated dwellings",0,0,0,0
"2011","Blackpool","E06000009","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Cheshire East","E06000049","Total",370127,365065,5062,0
"2011","Cheshire East","E06000049","Urban (total)",299520,296980,2540,0
"2011","Cheshire East","E06000049","Urban major conurbation",45501,45109,392,0
"2011","Cheshire East","E06000049","Urban minor conurbation",0,0,0,0
"2011","Cheshire East","E06000049","Urban city and town",254019,251871,2148,0
"2011","Cheshire East","E06000049","Urban city and town in a sparse setting",0,0,0,0
"2011","Cheshire East","E06000049","Rural (total)",70607,68085,2522,0
"2011","Cheshire East","E06000049","Rural town and fringe",20733,20488,245,0
"2011","Cheshire East","E06000049","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Cheshire East","E06000049","Rural village",21405,21142,263,0
"2011","Cheshire East","E06000049","Rural village in a sparse setting",0,0,0,0
"2011","Cheshire East","E06000049","Rural hamlet and isolated dwellings",28469,26455,2014,0
"2011","Cheshire East","E06000049","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Cheshire West and Chester","E06000050","Total",329608,326236,3372,2
"2011","Cheshire West and Chester","E06000050","Urban (total)",243307,240912,2395,2
"2011","Cheshire West and Chester","E06000050","Urban major conurbation",0,0,0,0
"2011","Cheshire West and Chester","E06000050","Urban minor conurbation",0,0,0,0
"2011","Cheshire West and Chester","E06000050","Urban city and town",243307,240912,2395,2
"2011","Cheshire West and Chester","E06000050","Urban city and town in a sparse setting",0,0,0,0
"2011","Cheshire West and Chester","E06000050","Rural (total)",86301,85324,977,0
"2011","Cheshire West and Chester","E06000050","Rural town and fringe",45067,44653,414,0
"2011","Cheshire West and Chester","E06000050","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Cheshire West and Chester","E06000050","Rural village",20335,20018,317,0
"2011","Cheshire West and Chester","E06000050","Rural village in a sparse setting",0,0,0,0
"2011","Cheshire West and Chester","E06000050","Rural hamlet and isolated dwellings",20899,20653,246,0
"2011","Cheshire West and Chester","E06000050","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Halton","E06000006","Total",125746,124874,872,0
"2011","Halton","E06000006","Urban (total)",122598,121726,872,0
"2011","Halton","E06000006","Urban major conurbation",0,0,0,0
"2011","Halton","E06000006","Urban minor conurbation",0,0,0,0
"2011","Halton","E06000006","Urban city and town",122598,121726,872,0
"2011","Halton","E06000006","Urban city and town in a sparse setting",0,0,0,0
"2011","Halton","E06000006","Rural (total)",3148,3148,0,0
"2011","Halton","E06000006","Rural town and fringe",2188,2188,0,0
"2011","Halton","E06000006","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Halton","E06000006","Rural village",714,714,0,0
"2011","Halton","E06000006","Rural village in a sparse setting",0,0,0,0
"2011","Halton","E06000006","Rural hamlet and isolated dwellings",246,246,0,0
"2011","Halton","E06000006","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Warrington","E06000007","Total",202228,198828,3400,0
"2011","Warrington","E06000007","Urban (total)",177064,175392,1672,0
"2011","Warrington","E06000007","Urban major conurbation",0,0,0,0
"2011","Warrington","E06000007","Urban minor conurbation",0,0,0,0
"2011","Warrington","E06000007","Urban city and town",177064,175392,1672,0
"2011","Warrington","E06000007","Urban city and town in a sparse setting",0,0,0,0
"2011","Warrington","E06000007","Rural (total)",25164,23436,1728,0
"2011","Warrington","E06000007","Rural town and fringe",15229,14044,1185,0
"2011","Warrington","E06000007","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Warrington","E06000007","Rural village",5637,5213,424,0
"2011","Warrington","E06000007","Rural village in a sparse setting",0,0,0,0
"2011","Warrington","E06000007","Rural hamlet and isolated dwellings",4298,4179,119,0
"2011","Warrington","E06000007","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Cumbria","E10000006","Total",499858,490939,8919,5
"2011","Cumbria","E10000006","Urban (total)",232039,229124,2915,0
"2011","Cumbria","E10000006","Urban major conurbation",0,0,0,0
"2011","Cumbria","E10000006","Urban minor conurbation",0,0,0,0
"2011","Cumbria","E10000006","Urban city and town",217427,214771,2656,0
"2011","Cumbria","E10000006","Urban city and town in a sparse setting",14612,14353,259,0
"2011","Cumbria","E10000006","Rural (total)",267819,261815,6004,5
"2011","Cumbria","E10000006","Rural town and fringe",102684,101508,1176,0
"2011","Cumbria","E10000006","Rural town and fringe in a sparse setting",28517,27511,1006,3
"2011","Cumbria","E10000006","Rural village",48425,47297,1128,0
"2011","Cumbria","E10000006","Rural village in a sparse setting",37116,36081,1035,1
"2011","Cumbria","E10000006","Rural hamlet and isolated dwellings",26843,26425,418,0
"2011","Cumbria","E10000006","Rural hamlet and isolated dwellings in a sparse setting",24234,22993,1241,1
"2011","Bolton","E08000001","Total",276786,274855,1931,1
"2011","Bolton","E08000001","Urban (total)",274298,272367,1931,1
"2011","Bolton","E08000001","Urban major conurbation",246862,245178,1684,1
"2011","Bolton","E08000001","Urban minor conurbation",0,0,0,0
"2011","Bolton","E08000001","Urban city and town",27436,27189,247,0
"2011","Bolton","E08000001","Urban city and town in a sparse setting",0,0,0,0
"2011","Bolton","E08000001","Rural (total)",2488,2488,0,0
"2011","Bolton","E08000001","Rural town and fringe",560,560,0,0
"2011","Bolton","E08000001","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Bolton","E08000001","Rural village",474,474,0,0
"2011","Bolton","E08000001","Rural village in a sparse setting",0,0,0,0
"2011","Bolton","E08000001","Rural hamlet and isolated dwellings",1454,1454,0,0
"2011","Bolton","E08000001","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Bury","E08000002","Total",185060,183025,2035,0
"2011","Bury","E08000002","Urban (total)",179934,178111,1823,0
"2011","Bury","E08000002","Urban major conurbation",179215,177392,1823,0
"2011","Bury","E08000002","Urban minor conurbation",0,0,0,0
"2011","Bury","E08000002","Urban city and town",719,719,0,0
"2011","Bury","E08000002","Urban city and town in a sparse setting",0,0,0,0
"2011","Bury","E08000002","Rural (total)",5126,4914,212,0
"2011","Bury","E08000002","Rural town and fringe",2258,2255,3,0
"2011","Bury","E08000002","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Bury","E08000002","Rural village",2061,1971,90,0
"2011","Bury","E08000002","Rural village in a sparse setting",0,0,0,0
"2011","Bury","E08000002","Rural hamlet and isolated dwellings",807,688,119,0
"2011","Bury","E08000002","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Manchester","E08000003","Total",503127,481030,22097,1
"2011","Manchester","E08000003","Urban (total)",503024,480927,22097,1
"2011","Manchester","E08000003","Urban major conurbation",503024,480927,22097,1
"2011","Manchester","E08000003","Urban minor conurbation",0,0,0,0
"2011","Manchester","E08000003","Urban city and town",0,0,0,0
"2011","Manchester","E08000003","Urban city and town in a sparse setting",0,0,0,0
"2011","Manchester","E08000003","Rural (total)",103,103,0,0
"2011","Manchester","E08000003","Rural town and fringe",0,0,0,0
"2011","Manchester","E08000003","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Manchester","E08000003","Rural village",0,0,0,0
"2011","Manchester","E08000003","Rural village in a sparse setting",0,0,0,0
"2011","Manchester","E08000003","Rural hamlet and isolated dwellings",103,103,0,0
"2011","Manchester","E08000003","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Oldham","E08000004","Total",224897,223170,1727,0
"2011","Oldham","E08000004","Urban (total)",222240,220552,1688,0
"2011","Oldham","E08000004","Urban major conurbation",214910,213250,1660,0
"2011","Oldham","E08000004","Urban minor conurbation",0,0,0,0
"2011","Oldham","E08000004","Urban city and town",7330,7302,28,0
"2011","Oldham","E08000004","Urban city and town in a sparse setting",0,0,0,0
"2011","Oldham","E08000004","Rural (total)",2657,2618,39,0
"2011","Oldham","E08000004","Rural town and fringe",355,316,39,0
"2011","Oldham","E08000004","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Oldham","E08000004","Rural village",305,305,0,0
"2011","Oldham","E08000004","Rural village in a sparse setting",0,0,0,0
"2011","Oldham","E08000004","Rural hamlet and isolated dwellings",1997,1997,0,0
"2011","Oldham","E08000004","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Rochdale","E08000005","Total",211699,209552,2147,3
"2011","Rochdale","E08000005","Urban (total)",209122,207042,2080,3
"2011","Rochdale","E08000005","Urban major conurbation",205920,203859,2061,3
"2011","Rochdale","E08000005","Urban minor conurbation",0,0,0,0
"2011","Rochdale","E08000005","Urban city and town",3202,3183,19,0
"2011","Rochdale","E08000005","Urban city and town in a sparse setting",0,0,0,0
"2011","Rochdale","E08000005","Rural (total)",2577,2510,67,0
"2011","Rochdale","E08000005","Rural town and fringe",541,480,61,0
"2011","Rochdale","E08000005","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Rochdale","E08000005","Rural village",523,522,1,0
"2011","Rochdale","E08000005","Rural village in a sparse setting",0,0,0,0
"2011","Rochdale","E08000005","Rural hamlet and isolated dwellings",1513,1508,5,0
"2011","Rochdale","E08000005","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Salford","E08000006","Total",233933,228346,5587,0
"2011","Salford","E08000006","Urban (total)",233649,228062,5587,0
"2011","Salford","E08000006","Urban major conurbation",233649,228062,5587,0
"2011","Salford","E08000006","Urban minor conurbation",0,0,0,0
"2011","Salford","E08000006","Urban city and town",0,0,0,0
"2011","Salford","E08000006","Urban city and town in a sparse setting",0,0,0,0
"2011","Salford","E08000006","Rural (total)",284,284,0,0
"2011","Salford","E08000006","Rural town and fringe",0,0,0,0
"2011","Salford","E08000006","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Salford","E08000006","Rural village",0,0,0,0
"2011","Salford","E08000006","Rural village in a sparse setting",0,0,0,0
"2011","Salford","E08000006","Rural hamlet and isolated dwellings",284,284,0,0
"2011","Salford","E08000006","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Stockport","E08000007","Total",283275,280915,2360,0
"2011","Stockport","E08000007","Urban (total)",282026,279682,2344,0
"2011","Stockport","E08000007","Urban major conurbation",274713,272413,2300,0
"2011","Stockport","E08000007","Urban minor conurbation",0,0,0,0
"2011","Stockport","E08000007","Urban city and town",7313,7269,44,0
"2011","Stockport","E08000007","Urban city and town in a sparse setting",0,0,0,0
"2011","Stockport","E08000007","Rural (total)",1249,1233,16,0
"2011","Stockport","E08000007","Rural town and fringe",0,0,0,0
"2011","Stockport","E08000007","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Stockport","E08000007","Rural village",0,0,0,0
"2011","Stockport","E08000007","Rural village in a sparse setting",0,0,0,0
"2011","Stockport","E08000007","Rural hamlet and isolated dwellings",1249,1233,16,0
"2011","Stockport","E08000007","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Tameside","E08000008","Total",219324,217736,1588,1
"2011","Tameside","E08000008","Urban (total)",218679,217091,1588,1
"2011","Tameside","E08000008","Urban major conurbation",216647,215059,1588,1
"2011","Tameside","E08000008","Urban minor conurbation",0,0,0,0
"2011","Tameside","E08000008","Urban city and town",2032,2032,0,0
"2011","Tameside","E08000008","Urban city and town in a sparse setting",0,0,0,0
"2011","Tameside","E08000008","Rural (total)",645,645,0,0
"2011","Tameside","E08000008","Rural town and fringe",0,0,0,0
"2011","Tameside","E08000008","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Tameside","E08000008","Rural village",0,0,0,0
"2011","Tameside","E08000008","Rural village in a sparse setting",0,0,0,0
"2011","Tameside","E08000008","Rural hamlet and isolated dwellings",645,645,0,0
"2011","Tameside","E08000008","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Trafford","E08000009","Total",226578,225277,1301,0
"2011","Trafford","E08000009","Urban (total)",225754,224453,1301,0
"2011","Trafford","E08000009","Urban major conurbation",221223,219922,1301,0
"2011","Trafford","E08000009","Urban minor conurbation",0,0,0,0
"2011","Trafford","E08000009","Urban city and town",4531,4531,0,0
"2011","Trafford","E08000009","Urban city and town in a sparse setting",0,0,0,0
"2011","Trafford","E08000009","Rural (total)",824,824,0,0
"2011","Trafford","E08000009","Rural town and fringe",0,0,0,0
"2011","Trafford","E08000009","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Trafford","E08000009","Rural village",585,585,0,0
"2011","Trafford","E08000009","Rural village in a sparse setting",0,0,0,0
"2011","Trafford","E08000009","Rural hamlet and isolated dwellings",239,239,0,0
"2011","Trafford","E08000009","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Wigan","E08000010","Total",317849,315794,2055,1
"2011","Wigan","E08000010","Urban (total)",306293,304450,1843,1
"2011","Wigan","E08000010","Urban major conurbation",300645,298848,1797,1
"2011","Wigan","E08000010","Urban minor conurbation",0,0,0,0
"2011","Wigan","E08000010","Urban city and town",5648,5602,46,0
"2011","Wigan","E08000010","Urban city and town in a sparse setting",0,0,0,0
"2011","Wigan","E08000010","Rural (total)",11556,11344,212,0
"2011","Wigan","E08000010","Rural town and fringe",7928,7928,0,0
"2011","Wigan","E08000010","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Wigan","E08000010","Rural village",2331,2119,212,0
"2011","Wigan","E08000010","Rural village in a sparse setting",0,0,0,0
"2011","Wigan","E08000010","Rural hamlet and isolated dwellings",1297,1297,0,0
"2011","Wigan","E08000010","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Lancashire","E10000017","Total",1171339,1143277,28062,7
"2011","Lancashire","E10000017","Urban (total)",929629,912912,16717,7
"2011","Lancashire","E10000017","Urban major conurbation",41647,41344,303,1
"2011","Lancashire","E10000017","Urban minor conurbation",0,0,0,0
"2011","Lancashire","E10000017","Urban city and town",887982,871568,16414,6
"2011","Lancashire","E10000017","Urban city and town in a sparse setting",0,0,0,0
"2011","Lancashire","E10000017","Rural (total)",241710,230365,11345,0
"2011","Lancashire","E10000017","Rural town and fringe",130300,127548,2752,0
"2011","Lancashire","E10000017","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Lancashire","E10000017","Rural village",55508,52917,2591,0
"2011","Lancashire","E10000017","Rural village in a sparse setting",0,0,0,0
"2011","Lancashire","E10000017","Rural hamlet and isolated dwellings",55460,49460,6000,0
